Index ,Close,CloseTotRetc,CloseNetRet
"2016/02/16","27892.67","40187.19","38416.23"
"2016/02/17","27482.02","39595.53","37850.65"
"2016/02/18","28197.64","40626.58","38836.26"
"2016/02/19","27656.92","39847.52","38091.53"
"2016/02/22","27789.25","40038.18","38273.79"
"2016/02/23","27645.40","39830.92","38075.67"
"2016/02/24","27483.30","39597.37","37852.41"
"2016/02/25","27889.06","40186.53","38414.72"
"2016/02/26","27914.88","40223.74","38450.28"
"2016/02/29","27658.80","39854.74","38097.55"
"2016/03/01","27723.49","39947.95","38186.65"
"2016/03/02","28810.91","41514.86","39684.47"
"2016/03/03","29427.96","42403.99","40534.40"
"2016/03/04","29575.42","42616.47","40737.51"
"2016/03/07","29431.78","42409.49","40539.66"
"2016/03/08","29201.21","42077.25","40222.07"
"2016/03/09","28897.49","41639.61","39803.72"
"2016/03/10","29203.74","42080.90","40225.55"
"2016/03/11","29405.86","42372.14","40503.95"
"2016/03/14","29679.71","42766.74","40881.15"
"2016/03/15","29469.96","42464.50","40592.24"
"2016/03/16","29181.07","42048.23","40194.32"
"2016/03/17","29176.79","42042.06","40188.42"
"2016/03/18","29021.42","41818.18","39974.41"
"2016/03/22","29535.56","42559.03","40682.59"
"2016/03/23","29309.44","42233.20","40371.13"
"2016/03/24","28902.21","41646.41","39810.21"
"2016/03/25","29223.92","42112.45","40255.22"
"2016/03/28","29520.81","42539.07","40663.26"
"2016/03/29","29277.48","42755.81","40760.27"
"2016/03/30","28690.45","41898.53","39943.00"
"2016/03/31","28558.11","41705.27","39758.76"
"2016/04/01","27620.77","40336.41","38453.79"
"2016/04/04","27612.67","40324.58","38442.51"
"2016/04/05","26824.47","39173.52","37345.17"
"2016/04/06","26816.72","39162.20","37334.38"
"2016/04/07","26920.70","39314.05","37479.14"
"2016/04/08","27276.87","39834.19","37975.00"
"2016/04/11","27177.78","39689.48","37837.05"
"2016/04/12","27659.73","40393.30","38508.02"
"2016/04/13","28396.00","41468.52","39533.06"
"2016/04/14","29295.10","42781.53","40784.79"
"2016/04/15","29147.70","42566.27","40579.58"
"2016/04/18","28332.16","41375.28","39444.18"
"2016/04/19","29207.38","42653.42","40662.67"
"2016/04/20","29255.58","42723.81","40729.77"
"2016/04/21","29938.35","43720.90","41680.33"
"2016/04/22","30342.47","44311.06","42242.95"
"2016/04/25","30169.01","44057.75","42001.46"
"2016/04/26","29912.46","43683.09","41644.29"
"2016/04/27","29754.11","43451.84","41423.83"
"2016/04/28","28646.55","41834.40","39881.88"
"2016/05/02","27791.86","40586.24","38691.98"
"2016/05/06","27708.72","40464.83","38576.23"
"2016/05/09","27872.96","40704.68","38804.89"
"2016/05/10","28345.68","41395.02","39463.01"
"2016/05/11","28323.30","41362.34","39431.85"
"2016/05/12","28326.64","41367.22","39436.50"
"2016/05/13","27881.89","40717.72","38817.32"
"2016/05/16","27949.93","40817.08","38912.05"
"2016/05/17","28138.78","41092.87","39174.97"
"2016/05/18","28248.48","41253.07","39327.69"
"2016/05/19","28168.61","41136.43","39216.49"
"2016/05/20","28150.99","41110.70","39191.96"
"2016/05/23","28140.49","41095.37","39177.34"
"2016/05/24","27912.15","40761.91","38859.44"
"2016/05/25","28251.35","41257.27","39331.68"
"2016/05/26","28168.70","41136.57","39216.61"
"2016/05/27","28274.21","41290.65","39363.50"
"2016/05/30","28577.83","41734.05","39786.20"
"2016/05/31","28807.38","42069.28","40105.78"
"2016/06/01","28360.76","41417.05","39483.99"
"2016/06/02","27732.27","40499.23","38609.00"
"2016/06/03","27839.09","40655.23","38757.72"
"2016/06/06","27721.29","40483.20","38593.72"
"2016/06/07","27916.19","40767.83","38865.06"
"2016/06/08","28144.66","41101.48","39183.14"
"2016/06/09","27846.37","40665.87","38767.86"
"2016/06/10","27652.25","40382.38","38497.61"
"2016/06/13","26665.72","38941.69","37124.16"
"2016/06/14","26483.52","38675.61","36870.50"
"2016/06/15","26555.48","38780.70","36970.68"
"2016/06/16","25862.23","37769.82","36006.69"
"2016/06/17","26131.63","38163.26","36381.76"
"2016/06/20","26771.25","39097.38","37272.27"
"2016/06/21","27063.77","39524.58","37679.53"
"2016/06/22","26902.67","39289.31","37455.24"
"2016/06/23","27228.63","39755.33","37901.44"
"2016/06/24","25402.90","37089.66","35360.08"
"2016/06/27","25641.16","37436.60","35691.02"
"2016/06/28","25432.30","37244.62","35486.13"
"2016/06/29","25885.19","37904.49","36115.50"
"2016/06/30","25934.02","37975.63","36183.35"
"2016/07/01","26022.26","38104.84","36306.46"
"2016/07/04","26146.41","38286.63","36479.68"
"2016/07/05","26043.70","38136.23","36336.38"
"2016/07/06","25418.83","37221.22","35464.56"
"2016/07/07","25278.55","37015.81","35268.84"
"2016/07/08","25002.87","36612.13","34884.21"
"2016/07/11","25959.06","38012.30","36218.29"
"2016/07/12","26768.24","39197.20","37347.26"
"2016/07/13","27297.18","39971.74","38085.24"
"2016/07/14","27493.97","40259.90","38359.80"
"2016/07/15","27877.53","40821.55","38894.95"
"2016/07/19","28108.57","41159.87","39217.30"
